Image_Path,Overall_UX
D:/UI UX code/screenshots/img1227.jpg,Bad UX
D:/UI UX code/screenshots/img1228.jpg,Bad UX
D:/UI UX code/screenshots/img1229.jpg,Bad UX
D:/UI UX code/screenshots/img123.jpg,Good UX
D:/UI UX code/screenshots/img1230.jpg,Bad UX
D:/UI UX code/screenshots/img1231.jpg,Good UX
D:/UI UX code/screenshots/img1232.jpg,Good UX
D:/UI UX code/screenshots/img1233.jpg,Good UX
D:/UI UX code/screenshots/img1234.jpg,Bad UX
D:/UI UX code/screenshots/img1235.jpg,Good UX
D:/UI UX code/screenshots/img1236.jpg,Bad UX
D:/UI UX code/screenshots/img1237.jpg,Bad UX
D:/UI UX code/screenshots/img1238.jpg,Bad UX
D:/UI UX code/screenshots/img1239.jpg,Bad UX
D:/UI UX code/screenshots/img124.jpg,Bad UX
D:/UI UX code/screenshots/img1240.jpg,Bad UX
D:/UI UX code/screenshots/img1241.jpg,Good UX
D:/UI UX code/screenshots/img1242.jpg,Good UX
D:/UI UX code/screenshots/img1243.jpg,Bad UX
D:/UI UX code/screenshots/img1244.jpg,Bad UX
D:/UI UX code/screenshots/img1245.jpg,Bad UX
D:/UI UX code/screenshots/img1246.jpg,Bad UX
D:/UI UX code/screenshots/img1247.jpg,Good UX
D:/UI UX code/screenshots/img1248.jpg,Good UX
D:/UI UX code/screenshots/img1249.jpg,Good UX
D:/UI UX code/screenshots/img125.jpg,Bad UX
D:/UI UX code/screenshots/img1250.jpg,Good UX
D:/UI UX code/screenshots/img1251.jpg,Good UX
D:/UI UX code/screenshots/img1252.jpg,Bad UX
D:/UI UX code/screenshots/img1253.jpg,Bad UX
D:/UI UX code/screenshots/img1254.jpg,Bad UX
D:/UI UX code/screenshots/img1255.jpg,Bad UX
D:/UI UX code/screenshots/img1256.jpg,Bad UX
D:/UI UX code/screenshots/img1257.jpg,Bad UX
D:/UI UX code/screenshots/img1258.jpg,Bad UX
D:/UI UX code/screenshots/img1259.jpg,Good UX
D:/UI UX code/screenshots/img126.jpg,Good UX
D:/UI UX code/screenshots/img127.jpg,Good UX
D:/UI UX code/screenshots/img128.jpg,Good UX
D:/UI UX code/screenshots/img129.jpg,Good UX
D:/UI UX code/screenshots/img13.jpg,Good UX
D:/UI UX code/screenshots/img130.jpg,Bad UX
D:/UI UX code/screenshots/img131.jpg,Good UX
D:/UI UX code/screenshots/img132.jpg,Good UX
D:/UI UX code/screenshots/img133.jpg,Good UX
D:/UI UX code/screenshots/img134.jpg,Good UX
D:/UI UX code/screenshots/img135.jpg,Bad UX
D:/UI UX code/screenshots/img136.jpg,Good UX
D:/UI UX code/screenshots/img137.jpg,Bad UX
D:/UI UX code/screenshots/img138.jpg,Good UX
D:/UI UX code/screenshots/img139.jpg,Bad UX
D:/UI UX code/screenshots/img14.jpg,Bad UX
D:/UI UX code/screenshots/img140.jpg,Bad UX
D:/UI UX code/screenshots/img141.jpg,Good UX
D:/UI UX code/screenshots/img142.jpg,Good UX
D:/UI UX code/screenshots/img143.jpg,Good UX
D:/UI UX code/screenshots/img144.jpg,Bad UX
D:/UI UX code/screenshots/img145.jpg,Bad UX
D:/UI UX code/screenshots/img146.jpg,Bad UX
D:/UI UX code/screenshots/img147.jpg,Bad UX
D:/UI UX code/screenshots/img148.jpg,Bad UX
D:/UI UX code/screenshots/img149.jpg,Good UX
D:/UI UX code/screenshots/img15.jpg,Good UX
D:/UI UX code/screenshots/img150.jpg,Bad UX
D:/UI UX code/screenshots/img151.jpg,Bad UX
D:/UI UX code/screenshots/img152.jpg,Good UX
D:/UI UX code/screenshots/img153.jpg,Good UX
D:/UI UX code/screenshots/img154.jpg,Good UX
D:/UI UX code/screenshots/img155.jpg,Bad UX
D:/UI UX code/screenshots/img156.jpg,Bad UX
D:/UI UX code/screenshots/img157.jpg,Bad UX
D:/UI UX code/screenshots/img158.jpg,Bad UX
D:/UI UX code/screenshots/img159.jpg,Good UX
D:/UI UX code/screenshots/img16.jpg,Bad UX
D:/UI UX code/screenshots/img160.jpg,Good UX
D:/UI UX code/screenshots/img161.jpg,Good UX
D:/UI UX code/screenshots/img162.jpg,Good UX
D:/UI UX code/screenshots/img163.jpg,Good UX
D:/UI UX code/screenshots/img164.jpg,Good UX
D:/UI UX code/screenshots/img165.jpg,Bad UX
D:/UI UX code/screenshots/img166.jpg,Bad UX
D:/UI UX code/screenshots/img167.jpg,Bad UX
D:/UI UX code/screenshots/img168.jpg,Bad UX
D:/UI UX code/screenshots/img169.jpg,Bad UX
D:/UI UX code/screenshots/img17.jpg,Good UX
D:/UI UX code/screenshots/img170.jpg,Bad UX
D:/UI UX code/screenshots/img171.jpg,Good UX
D:/UI UX code/screenshots/img172.jpg,Good UX
D:/UI UX code/screenshots/img173.jpg,Good UX
D:/UI UX code/screenshots/img174.jpg,Bad UX
D:/UI UX code/screenshots/img175.jpg,Good UX
D:/UI UX code/screenshots/img176.jpg,Bad UX
D:/UI UX code/screenshots/img177.jpg,Bad UX
D:/UI UX code/screenshots/img178.jpg,Good UX
D:/UI UX code/screenshots/img179.jpg,Good UX
D:/UI UX code/screenshots/img18.jpg,Good UX
D:/UI UX code/screenshots/img180.jpg,Bad UX
D:/UI UX code/screenshots/img181.jpg,Good UX
D:/UI UX code/screenshots/img182.jpg,Good UX
D:/UI UX code/screenshots/img183.jpg,Good UX
D:/UI UX code/screenshots/img184.jpg,Good UX
D:/UI UX code/screenshots/img185.jpg,Good UX
D:/UI UX code/screenshots/img186.jpg,Bad UX
D:/UI UX code/screenshots/img187.jpg,Bad UX
D:/UI UX code/screenshots/img188.jpg,Good UX
D:/UI UX code/screenshots/img189.jpg,Good UX
D:/UI UX code/screenshots/img19.jpg,Good UX
D:/UI UX code/screenshots/img190.jpg,Good UX
D:/UI UX code/screenshots/img191.jpg,Bad UX
D:/UI UX code/screenshots/img192.jpg,Good UX
D:/UI UX code/screenshots/img193.jpg,Bad UX
D:/UI UX code/screenshots/img194.jpg,Good UX
D:/UI UX code/screenshots/img195.jpg,Good UX
D:/UI UX code/screenshots/img196.jpg,Good UX
D:/UI UX code/screenshots/img197.jpg,Good UX
D:/UI UX code/screenshots/img198.jpg,Good UX
D:/UI UX code/screenshots/img199.jpg,Good UX
D:/UI UX code/screenshots/img2.jpg,Good UX
D:/UI UX code/screenshots/img20.jpg,Good UX
D:/UI UX code/screenshots/img200.jpg,Bad UX
D:/UI UX code/screenshots/img201.jpg,Good UX
D:/UI UX code/screenshots/img202.jpg,Bad UX
D:/UI UX code/screenshots/img203.jpg,Bad UX
D:/UI UX code/screenshots/img204.jpg,Good UX
D:/UI UX code/screenshots/img205.jpg,Good UX
D:/UI UX code/screenshots/img206.jpg,Bad UX
D:/UI UX code/screenshots/img207.jpg,Bad UX
D:/UI UX code/screenshots/img208.jpg,Bad UX
D:/UI UX code/screenshots/img209.jpg,Bad UX
D:/UI UX code/screenshots/img21.jpg,Bad UX
D:/UI UX code/screenshots/img210.jpg,Bad UX
D:/UI UX code/screenshots/img211.jpg,Bad UX
D:/UI UX code/screenshots/img212.jpg,Good UX
D:/UI UX code/screenshots/img213.jpg,Bad UX
D:/UI UX code/screenshots/img214.jpg,Bad UX
D:/UI UX code/screenshots/img215.jpg,Bad UX
D:/UI UX code/screenshots/img216.jpg,Good UX
D:/UI UX code/screenshots/img217.jpg,Bad UX
D:/UI UX code/screenshots/img218.jpg,Good UX
D:/UI UX code/screenshots/img219.jpg,Good UX
D:/UI UX code/screenshots/img22.jpg,Bad UX
D:/UI UX code/screenshots/img220.jpg,Good UX
D:/UI UX code/screenshots/img221.jpg,Good UX
D:/UI UX code/screenshots/img222.jpg,Good UX
D:/UI UX code/screenshots/img223.jpg,Good UX
D:/UI UX code/screenshots/img224.jpg,Bad UX
D:/UI UX code/screenshots/img225.jpg,Bad UX
D:/UI UX code/screenshots/img226.jpg,Bad UX
D:/UI UX code/screenshots/img227.jpg,Bad UX
D:/UI UX code/screenshots/img228.jpg,Good UX
D:/UI UX code/screenshots/img229.jpg,Bad UX
D:/UI UX code/screenshots/img23.jpg,Good UX
D:/UI UX code/screenshots/img230.jpg,Good UX
D:/UI UX code/screenshots/img231.jpg,Good UX
D:/UI UX code/screenshots/img232.jpg,Bad UX
D:/UI UX code/screenshots/img233.jpg,Good UX
D:/UI UX code/screenshots/img234.jpg,Good UX
D:/UI UX code/screenshots/img235.jpg,Good UX
D:/UI UX code/screenshots/img236.jpg,Good UX
D:/UI UX code/screenshots/img237.jpg,Good UX
D:/UI UX code/screenshots/img238.jpg,Good UX
D:/UI UX code/screenshots/img239.jpg,Good UX
D:/UI UX code/screenshots/img24.jpg,Bad UX
D:/UI UX code/screenshots/img240.jpg,Bad UX
D:/UI UX code/screenshots/img241.jpg,Bad UX
D:/UI UX code/screenshots/img242.jpg,Bad UX
D:/UI UX code/screenshots/img243.jpg,Bad UX
D:/UI UX code/screenshots/img244.jpg,Bad UX
D:/UI UX code/screenshots/img245.jpg,Bad UX
D:/UI UX code/screenshots/img246.jpg,Good UX
D:/UI UX code/screenshots/img247.jpg,Bad UX
D:/UI UX code/screenshots/img248.jpg,Good UX
D:/UI UX code/screenshots/img249.jpg,Good UX
D:/UI UX code/screenshots/img25.jpg,Bad UX
D:/UI UX code/screenshots/img250.jpg,Bad UX
D:/UI UX code/screenshots/img251.jpg,Bad UX
D:/UI UX code/screenshots/img252.jpg,Bad UX
D:/UI UX code/screenshots/img253.jpg,Bad UX
D:/UI UX code/screenshots/img254.jpg,Bad UX
D:/UI UX code/screenshots/img255.jpg,Good UX
D:/UI UX code/screenshots/img256.jpg,Good UX
D:/UI UX code/screenshots/img257.jpg,Bad UX
D:/UI UX code/screenshots/img258.jpg,Bad UX
D:/UI UX code/screenshots/img259.jpg,Good UX
D:/UI UX code/screenshots/img26.jpg,Good UX
D:/UI UX code/screenshots/img260.jpg,Good UX
D:/UI UX code/screenshots/img261.jpg,Good UX
D:/UI UX code/screenshots/img262.jpg,Bad UX
D:/UI UX code/screenshots/img263.jpg,Bad UX
D:/UI UX code/screenshots/img264.jpg,Good UX
D:/UI UX code/screenshots/img265.jpg,Good UX
D:/UI UX code/screenshots/img266.jpg,Good UX
D:/UI UX code/screenshots/img267.jpg,Bad UX
D:/UI UX code/screenshots/img268.jpg,Good UX
D:/UI UX code/screenshots/img269.jpg,Bad UX
D:/UI UX code/screenshots/img27.jpg,Good UX
D:/UI UX code/screenshots/img270.jpg,Bad UX
D:/UI UX code/screenshots/img271.jpg,Bad UX
D:/UI UX code/screenshots/img272.jpg,Good UX
D:/UI UX code/screenshots/img273.jpg,Bad UX
D:/UI UX code/screenshots/img274.jpg,Good UX
D:/UI UX code/screenshots/img275.jpg,Bad UX
D:/UI UX code/screenshots/img276.jpg,Bad UX
D:/UI UX code/screenshots/img277.jpg,Good UX
D:/UI UX code/screenshots/img278.jpg,Good UX
D:/UI UX code/screenshots/img279.jpg,Good UX
D:/UI UX code/screenshots/img28.jpg,Good UX
D:/UI UX code/screenshots/img280.jpg,Bad UX
D:/UI UX code/screenshots/img281.jpg,Bad UX
D:/UI UX code/screenshots/img282.jpg,Bad UX
D:/UI UX code/screenshots/img283.jpg,Bad UX
D:/UI UX code/screenshots/img284.jpg,Bad UX
D:/UI UX code/screenshots/img285.jpg,Bad UX
D:/UI UX code/screenshots/img286.jpg,Good UX
D:/UI UX code/screenshots/img287.jpg,Bad UX
D:/UI UX code/screenshots/img288.jpg,Bad UX
D:/UI UX code/screenshots/img289.jpg,Bad UX
D:/UI UX code/screenshots/img29.jpg,Bad UX
D:/UI UX code/screenshots/img290.jpg,Good UX
D:/UI UX code/screenshots/img291.jpg,Bad UX
D:/UI UX code/screenshots/img292.jpg,Bad UX
D:/UI UX code/screenshots/img293.jpg,Good UX
D:/UI UX code/screenshots/img294.jpg,Bad UX
D:/UI UX code/screenshots/img295.jpg,Bad UX
D:/UI UX code/screenshots/img296.jpg,Bad UX
D:/UI UX code/screenshots/img297.jpg,Bad UX
D:/UI UX code/screenshots/img298.jpg,Bad UX
D:/UI UX code/screenshots/img299.jpg,Bad UX
D:/UI UX code/screenshots/img3.jpg,Bad UX
D:/UI UX code/screenshots/img30.jpg,Bad UX
D:/UI UX code/screenshots/img300.jpg,Good UX
D:/UI UX code/screenshots/img301.jpg,Bad UX
D:/UI UX code/screenshots/img302.jpg,Bad UX
D:/UI UX code/screenshots/img303.jpg,Bad UX
D:/UI UX code/screenshots/img304.jpg,Bad UX
D:/UI UX code/screenshots/img305.jpg,Bad UX
D:/UI UX code/screenshots/img306.jpg,Bad UX
D:/UI UX code/screenshots/img307.jpg,Bad UX
D:/UI UX code/screenshots/img308.jpg,Bad UX
D:/UI UX code/screenshots/img309.jpg,Bad UX
D:/UI UX code/screenshots/img31.jpg,Bad UX
D:/UI UX code/screenshots/img310.jpg,Bad UX
D:/UI UX code/screenshots/img311.jpg,Good UX
D:/UI UX code/screenshots/img312.jpg,Bad UX
D:/UI UX code/screenshots/img313.jpg,Bad UX
D:/UI UX code/screenshots/img314.jpg,Bad UX
D:/UI UX code/screenshots/img315.jpg,Bad UX
D:/UI UX code/screenshots/img316.jpg,Good UX
D:/UI UX code/screenshots/img317.jpg,Bad UX
D:/UI UX code/screenshots/img318.jpg,Bad UX
D:/UI UX code/screenshots/img319.jpg,Bad UX
D:/UI UX code/screenshots/img32.jpg,Good UX
D:/UI UX code/screenshots/img320.jpg,Bad UX
D:/UI UX code/screenshots/img321.jpg,Bad UX
D:/UI UX code/screenshots/img322.jpg,Good UX
D:/UI UX code/screenshots/img323.jpg,Bad UX
D:/UI UX code/screenshots/img324.jpg,Bad UX
D:/UI UX code/screenshots/img325.jpg,Bad UX
D:/UI UX code/screenshots/img326.jpg,Good UX
D:/UI UX code/screenshots/img327.jpg,Good UX
D:/UI UX code/screenshots/img328.jpg,Bad UX
D:/UI UX code/screenshots/img329.jpg,Bad UX
